group,variant,dataset,mae,rmse,mape,wall_s,gpu_mb,status
extended,plus,CAD12-1,30.74,47.37,12.4163,345.3,2311,ok
extended,plus,CAD3,17.42,28.87,10.3706,332.4,2311,ok
extended,plus,CAD4-2,20.82,35.28,17.3222,359.6,0,ok
extended,plus,CAD4-3,4.50,8.21,12.1997,126.6,2155,ok
extended,plus,CAD4-4,25.36,41.40,15.1966,342.5,0,ok
extended,plus,CAD5,11.09,18.96,27.9024,169.1,1337,ok
extended,plus,CAD7-1,0.66,1.06,10.9366,20.6,2281,ok
extended,plus,CAD7-2,6.26,11.59,69.1786,225.6,0,ok
extended,plus,CAD7-3,0.61,0.99,11.4819,21.2,2281,ok
extended,plus,CAD8-2,17.42,28.87,10.3706,332.3,0,ok
extended,plus,METR_LA,2.59,5.67,5.9884,415.2,1705,ok
extended,plus,NYC_BIKE-3,3.34,8.05,38.4235,1061.7,1705,ok
extended,plus,NYC_TAXI,3.34,8.05,38.4235,983.3,4175,ok
extended,plus,PEMS07M,4.50,8.21,12.1997,112.2,4175,ok
extended,plus,SZ_DIDI,4.66,7.10,19.0481,266.2,4175,ok
extended,plus,TrafficHZ,11.09,18.96,27.9024,169.4,0,ok
extended,plus,TrafficJN,0.66,1.06,10.9366,20.5,0,ok
extended,plus,TrafficZZ,0.61,0.99,11.4819,21.1,0,ok
