variant,dataset,lora_rank,zeroshot_mae,mae,rmse,mape,improve_pct,trainable_params,lora_wall_s,gpu_mb,status
base,CD_DIDI,8,5.7,2.60,3.95,12.0545,54.39,129024,,,ok
base,CD_DIDI,16,5.7,2.58,3.91,11.8902,54.74,258048,,,ok
base,CD_DIDI,24,5.7,2.57,3.90,11.8425,54.91,387072,,,ok
base,SZ_DIDI,8,4.47,2.30,3.70,9.7608,48.55,129024,,,ok
base,SZ_DIDI,16,4.47,2.28,3.68,9.6788,48.99,258048,,,ok
base,SZ_DIDI,24,4.47,2.27,3.67,9.6407,49.22,387072,,,ok
mini,CD_DIDI,8,5.31,2.63,3.98,12.1944,50.47,64512,,,ok
mini,CD_DIDI,16,5.31,2.59,3.94,12.0261,51.22,129024,,,ok
mini,CD_DIDI,24,5.31,2.58,3.92,11.9710,51.41,193536,,,ok
mini,SZ_DIDI,8,4.05,2.34,3.77,9.9952,42.22,64512,,,ok
mini,SZ_DIDI,16,4.05,2.31,3.72,9.8651,42.96,129024,,,ok
mini,SZ_DIDI,24,4.05,2.30,3.71,9.8175,43.21,193536,,,ok
plus,CD_DIDI,8,6.34,2.59,3.93,11.9491,59.15,516096,,,ok
plus,CD_DIDI,16,6.34,2.60,3.92,11.8791,58.99,1032192,,,ok
plus,CD_DIDI,24,6.34,2.59,3.91,11.8553,59.15,1548288,,,ok
plus,SZ_DIDI,8,4.66,2.30,3.71,9.7778,50.64,516096,,,ok
plus,SZ_DIDI,16,4.66,2.29,3.70,9.7285,50.86,1032192,,,ok
plus,SZ_DIDI,24,4.66,2.29,3.70,9.7599,50.86,1548288,,,ok
